Name,UOM,MRP,Selling Price,Quantity,Total MRP,Total SP,Image Url
VIKRAM ELAICHI 1KG,Piece,435,415,1,435,415,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
TATA AGNI 1KG,Piece,367,349,2,734,698,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
TATA TEA PRE.1KG,Piece,620,602,1,620,602,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
TATA GOLD 1KG,Piece,570,549,2,1140,1098,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AARAMBH ASSAM TEA 1KG,Piece,570,540,3,1710,1620,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
RED LABEL NATURAL CARE 1KG,Piece,620,605,-2,-1240,-1210,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
RED LABEL 1KG,Piece,570,540,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
SAHYADRI PRE.DUST 1KG,Piece,450,430,2,900,860,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
VIKRAM KADAK DUST TEA 1KG,Piece,515,498,1,515,498,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
VIKRAM KADAK DUST TEA 1KG,Piece,515,498,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
WAGH BAKRI PRE.LEAF TEA 1KG,Piece,620,602,2,1240,1204,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Wagh Bakari Nav Chetan 1KG,Piece,240,220,3,720,660,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
WAGH BAKRI MILI PRE. 1KG,Piece,500,480,6,3000,2880,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
RED LABEL NATURAL CARE 500GM,Piece,310,305,11,3410,3355,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
RED LABEL 500GM,Piece,300,285,3,900,855,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
VIKRAM GOLD 500GM,Piece,298,285,3,894,855,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
PARIVAR 500GM,Piece,295,290,5,1475,1450,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
SAHYADRI KADAK TEA 1KG,Piece,340,330,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
SAHYADRI ELAICHI TEA 500GM,Piece,215,205,3,645,615,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
SAHYADRI KADAK TEA 500GM,Piece,180,170,6,1080,1020,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
SAHYADRI KADAK TEA 500GM,Piece,180,170,5,900,850,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
VIKRAM ELAICHI 500GM,Piece,225,220,1,225,220,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AARAMBH 250GM,Piece,170,165,2,340,330,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Taaza 500GM,Piece,140,120,1,140,120,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AARAMBH 250GM,Piece,140,120,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Aarambh 500 Gm,Piece,275,260,4,1100,1040,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
ARAMBH 500GM,Piece,320,299,10,3200,2990,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Vikram Gold 250GM,Piece,150,145,10,1500,1450,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
VIKRAM MASALA TEA 250,Piece,170,165,2,340,330,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
RED LABEL 250GM,Piece,150,145,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Parivar 250gm,Piece,150,145,-2,-300,-290,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Red Label Natural care 250gm,Piece,160,155,0,0,0,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Parivar 100gm,Piece,55,52,24,1320,1248,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Red Label 100gm,Piece,50,48,7,350,336,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Tata agni 500gm,Piece,140,130,4,560,520,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
AARAMBH 500gm,Piece,151,140,3,453,420,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
