Name,Variant name,UOM,,MRP,Selling Price,,Category,EAN,Brand,Image Url
abc,-,Piece,,0,0,,Manual Product,1.77E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Hells Energy drink 250ml,-,Pc,,60,60,,Manual Product,6.00E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Hells_Energy_drink_250ml_1688203955900.png
Hells Energy drink 250ml,-,Pc,,60,60,,Manual Product,6.00E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Hells_Energy_drink_250ml_1688203955900.png
Hells Energy drink 250ml,-,Pc,,60,60,,Manual Product,6.00E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/Hells_Energy_drink_250ml_1688203955900.png
fortune Soya Chunks,-,Piece,,10,10,,Manual Product,8.91E+12,-,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Ancient Living Baby Massage Oil,Almond 100 ml,100 ml,,450,450,,BABY CARE,8.91E+12,Ancient Living,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40091501_2-ancient-living-baby-massage-oil-almond.jpg
Baby Dove Rich Moisture Baby Shampoo 400 ml,-,400 ml,,350,350,,BABY CARE,8.91E+11,Baby Dove,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40158280_1-baby-dove-rich-moisture-baby-shampoo.jpg
Baby Dove Rich Moisture Baby Massage Oil 100 ml,-,100 ml,,109,109,,BABY CARE,8.90E+12,Baby Dove,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40125175_3-baby-dove-rich-moisture-baby-massage-oil.jpg
Abbott Similac Advance Follow Up Formula 2 400g,-,Piece,,620,620,,BABY CARE,8.90E+12,Abbott,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Abbott Similac Advance Infant Formula 1 400g,-,Pc,,715,715,,BABY CARE,8.90E+12,Abbott ,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png
Baby Dove Rich Moisture Baby Wipes 50 Pulls,-,50 Pulls,,135,135,,BABY CARE,8.90E+12,Baby Dove,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40090040_7-baby-dove-rich-moisture-baby-wipes.jpg
Baby Dove Rich Moisture Baby Massage Oil 200 ml,-,200 ml,,199,199,,BABY CARE,8.90E+12,Baby Dove,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40125176_4-baby-dove-rich-moisture-baby-massage-oil.jpg
Baby Dove Rich Moisture Bar 75 g,-,75 g,,52,52,,BABY CARE,8.90E+12,Baby Dove,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40090037_12-baby-dove-rich-moisture-bar.jpg
Baby Dove Rich Moisture Nourishing Baby Lotion 400 ml,-,400 ml,,350,350,,BABY CARE,8.90E+11,Baby Dove,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40158281_1-baby-dove-rich-moisture-nourishing-baby-lotion.jpg
Baby Dove Rich Moisture Bar 50 g,-,50 g,,32,32,,BABY CARE,8.90E+12,Baby Dove,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40090036_2-baby-dove-rich-moisture-bar.jpg
Chicco Baby Feeding Bottle Fast,Blue 4m+ 330 ml,330 ml,,349,349,,BABY CARE,8.06E+12,Chicco,https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/40142654_1-chicco-baby-feeding-bottle-fast-blue-4m.jpg
