"Name","Variant name","UOM","Purchase Value","MRP","Selling Price","Opening Stock","Quantity","Total Discount in ₹","Total Discount in %","Total MRP","Total SP","Total Purchase Price","Wholesale Price","Online Offer Price","Low Stock Qty","Supplier","Category","EAN","GST","HSN","Cess","Brand","Expiry Date","Image Url"
"VIKRAM ELAICHI 1KG","-","Piece","400","435","217","0","0","218","50.115","0","0","0","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8906007780759","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"TATA AGNI 1KG","-","Piece","320","367","349","0","1","18","4.905","367","349","320","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8901052008193","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"TATA TEA PRE.1KG","-","Piece","590","600","300","0","1","300","50","600","300","590","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8901052005208","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co//storage/v1/object/public/user-data/+919096169195/TATA_TEA_PRE.1KG_1773911678556.png"
"TATA GOLD 1KG","-","Piece","530","570","549","0","1","21","3.684","570","549","530","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8901052000913","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"AARAMBH ASSAM TEA 1KG","-","Piece","499","570","285","0","3","285","50","1,710","855","1,497","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8904132917040","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"RED LABEL NATURAL CARE 1KG","-","Piece","545.79","620","605","0","4","15","2.419","2,480","2,420","2,183.16","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED, BB SAATHI","Manual Product","8901030882609","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"RED LABEL 1KG","-","Piece","470","570","540","0","0","30","5.263","0","0","0","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8909106040410","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"SAHYADRI PRE.DUST 1KG","-","Piece","415","450","430","0","1","20","4.444","450","430","415","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8906008630879","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"VIKRAM KADAK DUST TEA 1KG","-","Piece","480","515","498","0","1","17","3.301","515","498","480","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8906007780018","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"VIKRAM KADAK DUST TEA 1KG","-","Piece","0","515","498","0","0","17","3.301","0","0","0","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8906007780018","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"WAGH BAKRI PRE.LEAF TEA 1KG","-","Piece","590","620","602","0","2","18","2.903","1,240","1,204","1,180","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8901747000433","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"Wagh Bakari Nav Chetan 1KG","-","Piece","199","240","120","0","0","120","50","0","0","0","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8901747000631","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"WAGH BAKRI MILI PRE. 1KG","-","Piece","460","500","250","0","5","250","50","2,500","1,250","2,300","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8901747000341","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"RED LABEL NATURAL CARE 500GM","-","Piece","300","310","305","0","1","5","1.613","310","305","300","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8901030882586","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"RED LABEL 500GM","-","Piece","256.5","300","285","0","8","15","5","2,400","2,280","2,052","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED, BB SAATHI","Manual Product","8901030876998","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"VIKRAM GOLD 500GM","-","Piece","270","298","285","0","5","13","4.362","1,490","1,425","1,350","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED, ELITE BOTHARA AGENCY","Manual Product","8906007780605","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"PARIVAR 500GM","-","Piece","280","295","290","0","0","5","1.695","0","0","0","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8906008630046","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"SAHYADRI KADAK TEA 1KG","-","Piece","310","340","330","0","0","10","2.941","0","0","0","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED, YOGAM AGENCY","Manual Product","8906008630633","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"SAHYADRI ELAICHI TEA 500GM","-","Piece","190","215","205","0","3","10","4.651","645","615","570","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8906008630138","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"SAHYADRI KADAK TEA 500GM","-","Piece","160","180","170","0","6","10","5.556","1,080","1,020","960","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8906008631586","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"SAHYADRI KADAK TEA 500GM","-","Piece","160","180","170","0","0","10","5.556","0","0","0","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED","Manual Product","8906008631586","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
"VIKRAM ELAICHI 500GM","-","Piece","194.8","225","220","0","1","5","2.222","225","220","194.8","0","0","0","KE-MART SUPERMARKETS PRIVATE LIMITED, ELITE BOTHARA AGENCY","Manual Product","8906007781121","0","-","-","-","-","https://mbtegbgsvxbefyzyxlyr.supabase.co/storage/v1/object/public/user-data/groceries.png"
